Event,EntryIndex,EntryTime,EntryPrice,ExitIndex,ExitTime,ExitPrice,TradePnL,CumulativePnL,Equity
ENTRY,4692,2025-05-28 12:28:00+05:30,1053.25,,,,,,
EXIT,4692,2025-05-28 12:28:00+05:30,1053.25,4737,2025-05-28 13:13:00+05:30,1072.55,19.3,308.4,100308
ENTRY,4786,2025-05-28 14:02:00+05:30,1051.15,,,,,,
EXIT,4786,2025-05-28 14:02:00+05:30,1051.15,4812,2025-05-28 14:28:00+05:30,1045.1,-6.05,302.35,100302
ENTRY,4830,2025-05-28 14:46:00+05:30,1059.1,,,,,,
EXIT,4830,2025-05-28 14:46:00+05:30,1059.1,4831,2025-05-28 14:47:00+05:30,1053,-6.1,296.25,100296
ENTRY,4833,2025-05-28 14:49:00+05:30,1053.05,,,,,,
EXIT,4833,2025-05-28 14:49:00+05:30,1053.05,4837,2025-05-28 14:53:00+05:30,1050,-3.05,293.2,100293
ENTRY,4875,2025-05-29 09:16:00+05:30,1114.05,,,,,,
EXIT,4875,2025-05-29 09:16:00+05:30,1114.05,4892,2025-05-29 09:33:00+05:30,1040.15,-73.9,219.3,100219
ENTRY,4909,2025-05-29 09:50:00+05:30,1042,,,,,,
EXIT,4909,2025-05-29 09:50:00+05:30,1042,4911,2025-05-29 09:52:00+05:30,1030,-12,207.3,100207
ENTRY,4922,2025-05-29 10:03:00+05:30,1060.25,,,,,,
EXIT,4922,2025-05-29 10:03:00+05:30,1060.25,4938,2025-05-29 10:19:00+05:30,1038.7,-21.55,185.75,100186
ENTRY,4974,2025-05-29 10:55:00+05:30,1014,,,,,,
EXIT,4974,2025-05-29 10:55:00+05:30,1014,4982,2025-05-29 11:03:00+05:30,973.7,-40.3,145.45,100145
ENTRY,5012,2025-05-29 11:33:00+05:30,975.5,,,,,,
EXIT,5012,2025-05-29 11:33:00+05:30,975.5,5031,2025-05-29 11:52:00+05:30,987.1,11.6,157.05,100157
ENTRY,5035,2025-05-29 11:56:00+05:30,991.95,,,,,,
EXIT,5035,2025-05-29 11:56:00+05:30,991.95,5056,2025-05-29 12:17:00+05:30,984.5,-7.45,149.6,100150
ENTRY,5069,2025-05-29 12:30:00+05:30,1001.45,,,,,,
EXIT,5069,2025-05-29 12:30:00+05:30,1001.45,5078,2025-05-29 12:39:00+05:30,951.45,-50,99.6,100100
ENTRY,5094,2025-05-29 12:55:00+05:30,983.05,,,,,,
EXIT,5094,2025-05-29 12:55:00+05:30,983.05,5121,2025-05-29 13:22:00+05:30,1006.8,23.75,123.35,100123
ENTRY,5131,2025-05-29 13:32:00+05:30,1019,,,,,,
EXIT,5131,2025-05-29 13:32:00+05:30,1019,5143,2025-05-29 13:44:00+05:30,1011.65,-7.35,116,100116
ENTRY,5184,2025-05-29 14:25:00+05:30,1002.4,,,,,,
EXIT,5184,2025-05-29 14:25:00+05:30,1002.4,5208,2025-05-29 14:49:00+05:30,1002.3,-0.1,115.9,100116
ENTRY,5220,2025-05-29 15:01:00+05:30,1030.1,,,,,,
EXIT,5220,2025-05-29 15:01:00+05:30,1030.1,5253,2025-05-30 09:19:00+05:30,1036.55,6.45,122.35,100122
ENTRY,5258,2025-05-30 09:24:00+05:30,1086,,,,,,
EXIT,5258,2025-05-30 09:24:00+05:30,1086,5259,2025-05-30 09:25:00+05:30,1080.95,-5.05,117.3,100117
ENTRY,5261,2025-05-30 09:27:00+05:30,1084.25,,,,,,
EXIT,5261,2025-05-30 09:27:00+05:30,1084.25,5274,2025-05-30 09:40:00+05:30,1042.8,-41.45,75.85,100076
ENTRY,5350,2025-05-30 10:56:00+05:30,998.05,,,,,,
EXIT,5350,2025-05-30 10:56:00+05:30,998.05,5374,2025-05-30 11:20:00+05:30,1005,6.95,82.8,100083
ENTRY,5378,2025-05-30 11:24:00+05:30,1015.05,,,,,,
EXIT,5378,2025-05-30 11:24:00+05:30,1015.05,5396,2025-05-30 11:42:00+05:30,994.85,-20.2,62.6,100063
ENTRY,5437,2025-05-30 12:23:00+05:30,984,,,,,,
EXIT,5437,2025-05-30 12:23:00+05:30,984,5451,2025-05-30 12:37:00+05:30,977,-7,55.6,100056
ENTRY,5465,2025-05-30 12:51:00+05:30,991.95,,,,,,
EXIT,5465,2025-05-30 12:51:00+05:30,991.95,5499,2025-05-30 13:25:00+05:30,993,1.05,56.65,100057
ENTRY,5503,2025-05-30 13:29:00+05:30,1012,,,,,,
EXIT,5503,2025-05-30 13:29:00+05:30,1012,5525,2025-05-30 13:51:00+05:30,1006.3,-5.7,50.95,100051
ENTRY,5531,2025-05-30 13:57:00+05:30,1037.5,,,,,,
EXIT,5531,2025-05-30 13:57:00+05:30,1037.5,5546,2025-05-30 14:12:00+05:30,1002.2,-35.3,15.65,100016
ENTRY,5565,2025-05-30 14:31:00+05:30,1017.1,,,,,,
EXIT,5565,2025-05-30 14:31:00+05:30,1017.1,5580,2025-05-30 14:46:00+05:30,995,-22.1,-6.45,99993.6
ENTRY,5594,2025-05-30 15:00:00+05:30,1007.25,,,,,,
EXIT,5594,2025-05-30 15:00:00+05:30,1007.25,5597,2025-05-30 15:03:00+05:30,989.55,-17.7,-24.15,99975.9
ENTRY,5614,2025-05-30 15:20:00+05:30,999.45,,,,,,
EXIT,5614,2025-05-30 15:20:00+05:30,999.45,5623,2025-05-30 15:29:00+05:30,982,-17.45,-41.6,99958.4
ENTRY,5655,2025-06-02 09:46:00+05:30,820,,,,,,
EXIT,5655,2025-06-02 09:46:00+05:30,820,5690,2025-06-02 10:21:00+05:30,831.55,11.55,-30.05,99970
ENTRY,5699,2025-06-02 10:30:00+05:30,861,,,,,,
EXIT,5699,2025-06-02 10:30:00+05:30,861,5728,2025-06-02 10:59:00+05:30,881,20,-10.05,99990
ENTRY,5741,2025-06-02 11:12:00+05:30,892.2,,,,,,
EXIT,5741,2025-06-02 11:12:00+05:30,892.2,5765,2025-06-02 11:36:00+05:30,900,7.8,-2.25,99997.8
